Die Verurteilten;DRAMA;1994;9.2
Der Pate;DRAMA;1972;9.2
Die Zwölf Geschworenen;DRAMA;1957;9
Schindlers Liste;DRAMA;1993;8.9
Der Herr der Ringe: Die Rückkehr des Köngis;FANTASY;2003;8.9
Pulp Fiction;THRILLER;1994;8.9
Der Herr der Ringe: Die Gefährten;FANTASY;2001;8.8
Zwei glorreiche Halunken;WESTERN;1966;8.8
The Dark Knight;ACTION;2008;9
Der Pate 2;DRAMA;1974;9;
Forrest Gump;DRAMA;1994;8.8
Fight Club;THRILLER;1999;8.8
Inception;SCIENCE_FICTION;2010;8.7
Der Herr der Ringe: Die Zwei Türme;FANTASY;2002;8.7
Das Imperium schlägt zurück;SCIENCE_FICTION;1980;8.7
Matrix;SCIENCE_FICTION;1999;8.7
GoodFellas - Drei Jahrzehnte in der Mafia;DRAMA;1990;8.7
Einer flog über das Kuckucksnest;DRAMA;1975;8.6
Sieben;THRILLER;1995;8.6
Die sieben Samurai;ACTION;1954;8.6
Disaster Movie;COMEDY;2008;2.1
Manos: Die Hände des Schicksals;HORROR;1966;2.2
Birdemic: Shock and Terror;HORROR;2010;2.3
Superbabies: Baby Geniuses 2;COMEDY;2004;2.3
House of the Dead;HORROR;2003;2.5